severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MINOR	2023-07-24T19:11:40-0700		8.0		typescript:S1128	dynamsoft-dlrjs-src	2min	Remove this unused import of 'DLRRuntimeSettings'.	2023-07-24T19:11:40-0700	CODE_SMELL	false	"es2015 / unused / "	dynamsoft-dlrjs-src:src/class/labelrecognizer.ts		MAIN	{startLine=8.0, endLine=8.0, startOffset=9.0, endOffset=27.0}	2min	AYmK0pRAkLc1XV_B8pJy	9b5704393c33b8e5fa3aa1645d797075	OPEN
MINOR	2023-07-24T19:11:40-0700		100.0		typescript:S4326	dynamsoft-dlrjs-src	1min	Redundant use of `await` on a return value.	2023-07-24T19:11:40-0700	CODE_SMELL	false	"redundant / "	dynamsoft-dlrjs-src:src/class/labelrecognizer.ts		MAIN	{startLine=100.0, endLine=100.0, startOffset=15.0, endOffset=59.0}	1min	AYmK0pRAkLc1XV_B8pJz	74137f808a1845d20dd729a20f841583	OPEN
INFO	2023-07-24T19:11:40-0700		106.0		typescript:S1135	dynamsoft-dlrjs-src	0min	"Complete the task associated to this ""TODO"" comment."	2023-07-24T19:11:40-0700	CODE_SMELL	false	"cwe / "	dynamsoft-dlrjs-src:src/class/labelrecognizer.ts		MAIN	{startLine=106.0, endLine=106.0, startOffset=114.0, endOffset=118.0}	0min	AYmK0pRAkLc1XV_B8pJ0	3cd23a4ac95e2808344f11d4d475976c	OPEN
INFO	2023-07-24T19:11:40-0700		179.0		typescript:S1135	dynamsoft-dlrjs-src	0min	"Complete the task associated to this ""TODO"" comment."	2023-07-24T19:11:40-0700	CODE_SMELL	false	"cwe / "	dynamsoft-dlrjs-src:src/class/labelrecognizer.ts		MAIN	{startLine=179.0, endLine=179.0, startOffset=50.0, endOffset=54.0}	0min	AYmK0pRAkLc1XV_B8pJ1	f13b363b3522690a88448e0a84052968	OPEN
MINOR	2023-07-24T19:11:40-0700		308.0		typescript:S1874	dynamsoft-dlrjs-src	15min	'_defaultUIElementURL' is deprecated.	2023-07-24T19:11:40-0700	CODE_SMELL	false	"cwe / obsolete / "	dynamsoft-dlrjs-src:src/class/labelrecognizer.ts		MAIN	{startLine=308.0, endLine=308.0, startOffset=20.0, endOffset=40.0}	15min	AYmK0pRBkLc1XV_B8pJ2	d7915a2c8528447947f13af40ab56ffa	OPEN
MINOR	2023-07-24T19:11:40-0700		323.0		typescript:S1874	dynamsoft-dlrjs-src	15min	'_defaultUIElementURL' is deprecated.	2023-07-24T19:11:40-0700	CODE_SMELL	false	"cwe / obsolete / "	dynamsoft-dlrjs-src:src/class/labelrecognizer.ts		MAIN	{startLine=323.0, endLine=323.0, startOffset=13.0, endOffset=33.0}	15min	AYmK0pRBkLc1XV_B8pJ3	d4d5ec168e48f20831d60fcc2122ec76	OPEN
CRITICAL	2023-07-24T19:11:40-0700		548.0		typescript:S3776	dynamsoft-dlrjs-src	1h27min	Refactor this function to reduce its Cognitive Complexity from 97 to the 15 allowed.	2023-07-24T19:11:40-0700	CODE_SMELL	false	"brain-overload / "	dynamsoft-dlrjs-src:src/class/labelrecognizer.ts	"{locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=549.0, endLine=549.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=550.0, endLine=550.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=561.0, endLine=561.0, startOffset=12.0, endOffset=14.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=562.0, endLine=562.0, startOffset=10.0, endOffset=15.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=563.0, endLine=563.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl. 1 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=564.0, endLine=564.0, startOffset=22.0, endOffset=24.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=571.0, endLine=571.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=587.0, endLine=587.0, startOffset=10.0, endOffset=14.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=573.0, endLine=573.0, startOffset=16.0, endOffset=18.0}, msg=+2 (incl. 1 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=579.0, endLine=579.0, startOffset=18.0, endOffset=22.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=574.0, endLine=574.0, startOffset=20.0, endOffset=22.0}, msg=+3 (incl. 2 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=583.0, endLine=583.0, startOffset=14.0, endOffset=19.0}, msg=+2 (incl. 1 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=588.0, endLine=588.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl. 1 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=623.0, endLine=623.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl. 1 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=623.0, endLine=623.0, startOffset=23.0, endOffset=25.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=638.0, endLine=638.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl. 1 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=641.0, endLine=641.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl. 1 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=641.0, endLine=641.0, startOffset=53.0, endOffset=55.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=645.0, endLine=645.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl. 1 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=645.0, endLine=645.0, startOffset=54.0, endOffset=56.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=646.0, endLine=646.0, startOffset=16.0, endOffset=19.0}, msg=+3 (incl. 2 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=647.0, endLine=647.0, startOffset=20.0, endOffset=23.0}, msg=+4 (incl. 3 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=652.0, endLine=652.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl. 1 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=652.0, endLine=652.0, startOffset=51.0, endOffset=53.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=655.0, endLine=655.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl. 2 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=660.0, endLine=660.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl. 1 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=660.0, endLine=660.0, startOffset=51.0, endOffset=53.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=662.0, endLine=662.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl. 2 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=664.0, endLine=664.0, startOffset=20.0, endOffset=22.0}, msg=+4 (incl. 3 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=666.0, endLine=666.0, startOffset=24.0, endOffset=27.0}, msg=+5 (incl. 4 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=667.0, endLine=667.0, startOffset=28.0, endOffset=31.0}, msg=+6 (incl. 5 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=668.0, endLine=668.0, startOffset=32.0, endOffset=34.0}, msg=+7 (incl. 6 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=671.0, endLine=671.0, startOffset=55.0, endOffset=56.0}, msg=+8 (incl. 7 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=672.0, endLine=672.0, startOffset=39.0, endOffset=41.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=677.0, endLine=677.0, startOffset=36.0, endOffset=38.0}, msg=+8 (incl. 7 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=679.0, endLine=679.0, startOffset=43.0, endOffset=45.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=681.0, endLine=681.0, startOffset=43.0, endOffset=45.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=686.0, endLine=686.0, startOffset=32.0, endOffset=35.0}, msg=+7 (incl. 6 for nesting)}]} / "	MAIN	{startLine=548.0, endLine=548.0, startOffset=18.0, endOffset=39.0}	1h27min	AYmK0pRBkLc1XV_B8pJ4	cef441ef3cb06d3390fb965b66b048e0	OPEN
MAJOR	2023-07-24T19:11:40-0700		561.0		typescript:S108	dynamsoft-dlrjs-src	5min	Empty block statement.	2023-07-24T19:11:40-0700	CODE_SMELL	false	"suspicious / "	dynamsoft-dlrjs-src:src/class/labelrecognizer.ts		MAIN	{startLine=561.0, endLine=561.0, startOffset=31.0, endOffset=33.0}	5min	AYmK0pRBkLc1XV_B8pJ5	98cadd46fcc969e2a964060fa5c93999	OPEN
MAJOR	2023-07-24T19:11:40-0700		603.0		typescript:S4144	dynamsoft-dlrjs-src	15min	Update this function so that its implementation is not identical to the one on line 594.	2023-07-24T19:11:40-0700	CODE_SMELL	false	"confusing / duplicate / suspicious / "	dynamsoft-dlrjs-src:src/class/labelrecognizer.ts	"{locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=594.0, endLine=594.0, startOffset=38.0, endOffset=40.0}, msg=Original implementation}]} / "	MAIN	{startLine=603.0, endLine=603.0, startOffset=42.0, endOffset=44.0}	15min	AYmK0pRBkLc1XV_B8pJ6	14099739ebf64e8291e5eb5448cf91a6	OPEN
MINOR	2023-07-25T02:17:50-0700		727.0		typescript:S4325	dynamsoft-dlrjs-src	1min	This assertion is unnecessary since it does not change the type of the expression.	2023-07-24T19:11:40-0700	CODE_SMELL	false	"redundant / "	dynamsoft-dlrjs-src:src/class/labelrecognizer.ts		MAIN	{startLine=727.0, endLine=727.0, startOffset=25.0, endOffset=41.0}	1min	AYmK0pRBkLc1XV_B8pJ7	47f4ff826c6e043d4e833e5102103330	OPEN
